slot_ID,day,start_hr,start_min
1,0,12,0
2,0,12,30
3,0,13,0
4,0,13,30
5,0,14,0
6,0,14,30
7,0,15,0
8,0,15,30
9,0,16,0
10,0,16,30
11,0,17,0
12,0,17,30
13,0,18,0
14,0,18,30
15,0,19,0
16,0,19,30
17,0,20,0
18,0,20,30
19,0,21,0
20,0,21,30
21,0,22,0
22,0,22,30
23,0,23,0
24,0,23,30
25,1,12,0
26,1,12,30
27,1,13,0
28,1,13,30
29,1,14,0
30,1,14,30
31,1,15,0
32,1,15,30
33,1,16,0
34,1,16,30
35,1,17,0
36,1,17,30
37,1,18,0
38,1,18,30
39,1,19,0
40,1,19,30
41,1,20,0
42,1,20,30
43,1,21,0
44,1,21,30
45,1,22,0
46,1,22,30
47,1,23,0
48,1,23,30
49,2,12,0
50,2,12,30
51,2,13,0
52,2,13,30
53,2,14,0
54,2,14,30
55,2,15,0
56,2,15,30
57,2,16,0
58,2,16,30
59,2,17,0
60,2,17,30
61,2,18,0
62,2,18,30
63,2,19,0
64,2,19,30
65,2,20,0
66,2,20,30
67,2,21,0
68,2,21,30
69,2,22,0
70,2,22,30
71,2,23,0
72,2,23,30
73,3,12,0
74,3,12,30
75,3,13,0
76,3,13,30
77,3,14,0
78,3,14,30
79,3,15,0
80,3,15,30
81,3,16,0
82,3,16,30
83,3,17,0
84,3,17,30
85,3,18,0
86,3,18,30
87,3,19,0
88,3,19,30
89,3,20,0
90,3,20,30
91,3,21,0
92,3,21,30
93,3,22,0
94,3,22,30
95,3,23,0
96,3,23,30
97,4,12,0
98,4,12,30
99,4,13,0
100,4,13,30
101,4,14,0
102,4,14,30
103,4,15,0
104,4,15,30
105,4,16,0
106,4,16,30
107,4,17,0
108,4,17,30
109,4,18,0
110,4,18,30
111,4,19,0
112,4,19,30
113,4,20,0
114,4,20,30
115,4,21,0
116,4,21,30
117,4,22,0
118,4,22,30
119,4,23,0
120,4,23,30
121,5,12,0
122,5,12,30
123,5,13,0
124,5,13,30
125,5,14,0
126,5,14,30
127,5,15,0
128,5,15,30
129,5,16,0
130,5,16,30
131,5,17,0
132,5,17,30
133,5,18,0
134,5,18,30
135,5,19,0
136,5,19,30
137,5,20,0
138,5,20,30
139,5,21,0
140,5,21,30
141,5,22,0
142,5,22,30
143,5,23,0
144,5,23,30
145,6,12,0
146,6,12,30
147,6,13,0
148,6,13,30
149,6,14,0
150,6,14,30
151,6,15,0
152,6,15,30
153,6,16,0
154,6,16,30
155,6,17,0
156,6,17,30
157,6,18,0
158,6,18,30
159,6,19,0
160,6,19,30
161,6,20,0
162,6,20,30
163,6,21,0
164,6,21,30
165,6,22,0
166,6,22,30
167,6,23,0
168,6,23,30
